user_id,week_0,week_1,week_2,week_3,week_4,week_5,group,exam_score
94400,10.0,0.0,0.0,0.0,0.0,10.0,intervene,34.0
94987,20.0,0.0,10.0,0.0,0.0,0.0,on-track,63.5
95610,20.0,10.0,0.0,0.0,0.0,0.0,advanced,71.0
96409,10.0,0.0,0.0,0.0,0.0,20.0,on-track,63.5
118571,10.0,0.0,0.0,0.0,0.0,10.0,on-track,51.0
118600,20.0,0.0,0.0,0.0,10.0,0.0,on-track,63.5
118613,20.0,0.0,0.0,0.0,0.0,10.0,on-track,54.0
119618,20.0,0.0,0.0,0.0,0.0,0.0,on-track,51.0
119823,70.0,0.0,0.0,20.0,0.0,0.0,advanced,84.5
119879,10.0,0.0,0.0,0.0,0.0,20.0,on-track,63.5
119915,10.0,0.0,20.0,0.0,0.0,0.0,on-track,63.5
120366,10.0,0.0,0.0,0.0,0.0,10.0,on-track,51.0
120464,20.0,10.0,30.0,0.0,0.0,0.0,on-track,67.0
120581,10.0,0.0,0.0,0.0,0.0,10.0,intervene,34.0
121341,10.0,0.0,0.0,0.0,0.0,20.0,on-track,54.0
121429,10.0,10.0,0.0,0.0,0.0,0.0,on-track,51.0
122100,10.0,0.0,0.0,0.0,20.0,0.0,on-track,54.0
122106,10.0,0.0,0.0,0.0,10.0,0.0,on-track,68.0
122176,60.0,0.0,0.0,10.0,10.0,0.0,advanced,72.0
122186,10.0,0.0,30.0,0.0,0.0,0.0,on-track,58.0
122293,10.0,0.0,0.0,10.0,0.0,0.0,on-track,53.0
122709,10.0,0.0,10.0,0.0,0.0,0.0,on-track,53.0
122777,10.0,10.0,0.0,0.0,0.0,0.0,on-track,68.0
122984,10.0,0.0,0.0,0.0,20.0,0.0,on-track,54.0
122990,0.0,0.0,10.0,0.0,0.0,0.0,on-track,47.0
123290,10.0,0.0,0.0,50.0,0.0,0.0,on-track,57.5
123627,30.0,20.0,0.0,0.0,20.0,0.0,on-track,60.5
124594,20.0,0.0,0.0,0.0,10.0,0.0,on-track,63.5
124637,10.0,0.0,0.0,10.0,0.0,0.0,on-track,51.0
125417,10.0,0.0,0.0,0.0,0.0,60.0,on-track,68.0
125418,10.0,0.0,0.0,40.0,60.0,0.0,on-track,68.5
125422,60.0,0.0,0.0,0.0,0.0,0.0,advanced,74.5
125426,10.0,40.0,0.0,0.0,0.0,0.0,advanced,70.5
125427,30.0,0.0,0.0,0.0,10.0,10.0,on-track,53.5
125428,10.0,10.0,10.0,0.0,10.0,10.0,advanced,78.0
125430,50.0,10.0,0.0,0.0,0.0,10.0,on-track,68.0
125431,10.0,0.0,10.0,0.0,0.0,0.0,intervene,34.0
125435,0.0,0.0,0.0,0.0,0.0,0.0,on-track,61.0
125489,20.0,0.0,0.0,20.0,10.0,0.0,advanced,78.0
125490,0.0,0.0,0.0,0.0,0.0,0.0,intervene,44.0
125498,30.0,0.0,20.0,0.0,0.0,20.0,on-track,70.0
125502,10.0,0.0,10.0,0.0,0.0,0.0,on-track,51.0
125555,10.0,0.0,0.0,0.0,0.0,10.0,on-track,51.0
125566,20.0,0.0,10.0,0.0,0.0,10.0,intervene,41.0
125583,10.0,10.0,0.0,0.0,10.0,0.0,on-track,54.0
125584,10.0,0.0,0.0,10.0,30.0,0.0,on-track,53.5
125585,10.0,0.0,0.0,0.0,0.0,0.0,on-track,56.5
125587,20.0,0.0,0.0,0.0,0.0,10.0,on-track,54.0
125589,10.0,0.0,10.0,40.0,0.0,0.0,on-track,57.5
125599,10.0,0.0,0.0,0.0,40.0,0.0,advanced,70.5
125630,170.0,0.0,20.0,0.0,0.0,0.0,advanced,79.5
125728,20.0,0.0,0.0,10.0,0.0,0.0,on-track,56.0
125801,0.0,30.0,10.0,0.0,0.0,0.0,on-track,58.0
125807,10.0,0.0,0.0,10.0,0.0,0.0,intervene,43.5
125820,20.0,0.0,0.0,10.0,0.0,20.0,on-track,61.0
125844,0.0,0.0,0.0,0.0,10.0,0.0,on-track,47.0
125845,10.0,0.0,10.0,0.0,0.0,0.0,intervene,43.5
125848,10.0,0.0,0.0,20.0,0.0,0.0,on-track,56.0
125875,10.0,0.0,10.0,0.0,0.0,0.0,on-track,53.0
125884,0.0,0.0,0.0,0.0,0.0,20.0,on-track,51.0
125886,10.0,0.0,10.0,0.0,20.0,50.0,on-track,61.5
125893,10.0,0.0,0.0,0.0,10.0,0.0,on-track,51.0
125933,10.0,10.0,0.0,10.0,0.0,0.0,intervene,46.5
126146,10.0,0.0,10.0,30.0,60.0,20.0,on-track,68.0
