user_id,order_id,relative_week,problem_id,score
94400,163987467,0,6473,10.0
94400,164499411,5,11893,10.0
94987,172053491,0,37570,10.0
94987,172092447,0,7195,10.0
94987,172243850,2,5945,10.0
95610,163236753,0,10265,10.0
95610,163237312,0,39162,10.0
95610,163379425,1,10264,10.0
96409,165408528,0,7192,10.0
96409,165866029,5,5918,10.0
96409,165866225,5,10763,10.0
118571,164001095,0,6465,10.0
118571,164495793,5,12450,10.0
118600,164557834,0,14247,10.0
118600,164558331,0,14211,10.0
118600,164985409,4,10265,10.0
118613,166846071,0,10765,10.0
118613,166847199,0,10767,10.0
118613,166848528,0,10763,0.0
118613,167174706,3,39162,0.0
118613,167320134,5,10597,0.0
118613,167320562,5,8949,10.0
118613,167320979,5,9424,0.0
119618,171078047,0,7157,10.0
119618,171078094,0,14247,10.0
119618,171078498,0,9424,0.0
119618,171370526,3,8946,0.0
119823,165633497,0,204037,10.0
119823,165633586,0,10763,10.0
119823,165633720,0,7192,10.0
119823,165634364,0,236309,10.0
119823,165634702,0,6851,10.0
119823,165634820,0,7195,10.0
119823,165635327,0,5918,10.0
119823,165931537,3,10765,10.0
119823,165931982,3,5976,10.0
119879,165419440,0,7192,10.0
119879,165868336,5,10763,10.0
119879,165868573,5,5918,10.0
119915,165565802,0,7192,10.0
119915,165753816,2,5918,10.0
119915,165753906,2,10763,10.0
120366,164226171,0,10763,10.0
120366,164738345,5,204037,10.0
120464,170315462,0,10265,10.0
120464,170359269,0,37876,10.0
120464,170416015,1,5976,10.0
120464,170491013,2,10597,10.0
120464,170491066,2,37980,10.0
120464,170491140,2,9428,10.0
120581,165083600,0,7192,10.0
120581,165562402,5,10833,10.0
121341,165411284,0,7192,10.0
121341,165872455,5,5918,10.0
121341,165881014,5,10763,10.0
121429,164284448,0,6022,10.0
121429,164422550,1,31260,10.0
122100,165485552,0,7192,10.0
122100,165875292,4,5918,10.0
122100,165875965,4,10763,10.0
122106,165001088,0,7192,10.0
122106,165407957,4,10833,10.0
122176,169471255,0,6921,10.0
122176,169472475,0,6009,10.0
122176,169472550,0,6465,10.0
122176,169472834,0,9222,0.0
122176,169473611,0,7035,10.0
122176,169497557,0,26902,10.0
122176,169497599,0,14168,10.0
122176,169804416,3,6402,10.0
122176,169831626,4,10765,10.0
122186,164660635,0,10763,10.0
122186,164902443,2,204037,10.0
122186,164902610,2,7192,10.0
122186,164903948,2,236309,10.0
122293,172493042,0,12450,10.0
122293,172754967,3,10265,10.0
122709,165793848,0,5918,10.0
122709,166023931,2,7192,10.0
122777,172431224,0,12450,10.0
122777,172577054,1,10265,10.0
122984,165421125,0,7192,10.0
122984,165808280,4,5918,10.0
122984,165808440,4,10763,10.0
122990,164737030,0,204037,0.0
122990,164737132,0,5918,0.0
122990,164958722,2,7192,10.0
123290,169961236,0,37980,10.0
123290,170225587,3,10265,10.0
123290,170225644,3,37876,10.0
123290,170225675,3,5976,10.0
123290,170225865,3,10597,10.0
123290,170272337,3,9428,10.0
123627,166593405,0,6039,10.0
123627,166594159,0,5962,0.0
123627,166594386,0,37374,10.0
123627,166595693,0,7195,10.0
123627,166595724,0,6851,0.0
123627,166709864,1,6473,10.0
123627,166709918,1,12450,10.0
123627,166960884,4,10767,10.0
123627,166961776,4,10763,10.0
124594,164458221,0,10763,10.0
124594,164461460,0,204037,10.0
124594,164858263,4,7192,10.0
124637,165821810,0,8928,10.0
124637,166112306,3,236309,10.0
125417,163581407,0,8949,10.0
125417,164053355,5,236309,10.0
125417,164053703,5,7195,10.0
125417,164054162,5,39162,10.0
125417,164055563,5,10597,10.0
125417,164055808,5,7155,10.0
125417,164077053,5,8585,10.0
125418,163621243,0,9244,10.0
125418,163958248,3,7155,10.0
125418,163958793,3,8949,10.0
125418,163958940,3,9424,10.0
125418,163959085,3,9180,10.0
125418,164034916,4,8585,10.0
125418,164037999,4,10597,10.0
125418,164038979,4,12450,10.0
125418,164042732,4,37570,10.0
125418,164042891,4,13935,10.0
125418,164043191,4,39162,10.0
125422,163894494,0,6473,10.0
125422,163894903,0,12450,10.0
125422,163895330,0,13935,10.0
125422,163895753,0,14247,10.0
125422,163896058,0,5968,10.0
125422,163930578,0,9180,10.0
125422,163931118,0,8585,0.0
125422,163968255,0,8949,0.0
125422,164009613,1,5969,0.0
125426,163918459,0,7155,10.0
125426,164049084,1,39162,10.0
125426,164052110,1,6851,10.0
125426,164052266,1,5968,10.0
125426,164052393,1,7195,10.0
125427,163485836,0,8949,10.0
125427,163559043,0,9424,10.0
125427,163559483,0,9180,10.0
125427,163905948,4,10597,10.0
125427,163931041,5,39162,10.0
125428,163273030,0,5968,10.0
125428,163409314,1,9180,10.0
125428,163479623,2,8949,10.0
125428,163620222,4,8585,10.0
125428,163732550,5,5969,10.0
125430,163241544,0,7155,10.0
125430,163298910,0,5976,10.0
125430,163299176,0,5968,10.0
125430,163299390,0,14247,10.0
